class,fn_name,address,reversed,locked,is_virtual
cTransmission,CalculateDriveAcceleration,0x006D05E0,1,0,0
cTransmission,CalculateGearForSimpleCar,0x006D0530,1,0,0
cTransmission,DisplayGearRatios,0x006D0590,1,0,0
cTransmission,InitGearRatios,0x006D0460,1,0,0
cHandlingDataMgr,ConvertBikeDataToGameUnits,0x006F5290,1,0,0
cHandlingDataMgr,ConvertBikeDataToWorldUnits,0x006F5240,1,0,0
cHandlingDataMgr,ConvertDataToGameUnits,0x006F5080,1,0,0
cHandlingDataMgr,ConvertDataToWorldUnits,0x006F5010,1,0,0
cHandlingDataMgr,FindExactWord,0x006F4F30,1,0,0
cHandlingDataMgr,GetBoatPointer,0x006F5300,1,0,0
cHandlingDataMgr,GetFlyingPointer,0x006F52D0,1,0,0
cHandlingDataMgr,GetHandlingId,0x006F4FD0,1,0,0
cHandlingDataMgr,HasFrontWheelDrive,0x006A0480,1,0,0
cHandlingDataMgr,HasRearWheelDrive,0x006A04B0,1,0,0
cHandlingDataMgr,LoadHandlingData,0x005BD830,1,0,0
cBuoyancy,AddSplashParticles,0x006C34E0,1,0,0
cBuoyancy,CalcBuoyancyForce,0x006C2750,1,0,0
cBuoyancy,FindWaterLevel,0x006C2810,1,0,0
cBuoyancy,FindWaterLevelNorm,0x006C28C0,1,0,0
cBuoyancy,PreCalcSetup,0x006C2B90,1,0,0
cBuoyancy,ProcessBuoyancy,0x006C3EF0,1,0,0
cBuoyancy,ProcessBuoyancyBoat,0x006C3030,1,0,0
cBuoyancy,SimpleCalcBuoyancy,0x006C3B00,1,0,0
cBuoyancy,SimpleSumBuoyancyData,0x006C2970,1,0,0
WaterCreature_c,Exit,0x006E3E60,1,0,0
WaterCreature_c,Init,0x006E4160,1,0,0
WaterCreature_c,Update,0x006E4670,1,0,0
WaterCreatureManager_c,CanAddWaterCreatureAtPos,0x006E4510,1,0,0
WaterCreatureManager_c,Exit,0x006E3FD0,1,0,0
WaterCreatureManager_c,GetRandomWaterCreatureId,0x006E4040,1,0,0
WaterCreatureManager_c,Init,0x006E3F90,1,0,0
WaterCreatureManager_c,TryToExitGroup,0x006E45B0,1,0,0
WaterCreatureManager_c,TryToFreeUpWaterCreatures,0x006E40E0,1,0,0
WaterCreatureManager_c,Update,0x006E4F10,1,0,0
VideoMode,FreeVideoModeList,0x00745A80,1,0,0
VideoMode,GetVideoModeList,0x00745AF0,1,0,0
VideoMode,IsVideoModeExclusive,0x00745CA0,1,0,0
VideoMode,SetVideoMode,0x00745C70,1,0,0
SurfaceInfos_c,CanClimb,0x0055EA10,1,0,0
SurfaceInfos_c,CantSprintOn,0x0055E870,1,0,0
SurfaceInfos_c,CreatesObjects,0x0055E9F0,1,0,0
SurfaceInfos_c,CreatesPlants,0x0055E9D0,1,0,0
SurfaceInfos_c,CreatesSparks,0x0055E850,1,0,0
SurfaceInfos_c,CreatesWheelDust,0x0055E970,1,0,0
SurfaceInfos_c,CreatesWheelGrass,0x0055E910,1,0,0
SurfaceInfos_c,CreatesWheelGravel,0x0055E930,1,0,0
SurfaceInfos_c,CreatesWheelMud,0x0055E950,1,0,0
SurfaceInfos_c,CreatesWheelSand,0x0055E990,1,0,0
SurfaceInfos_c,CreatesWheelSpray,0x0055E9B0,1,0,0
SurfaceInfos_c,GetAdhesionGroup,0x0055E5C0,1,0,0
SurfaceInfos_c,GetAdhesiveLimit,0x0055EB50,1,0,0
SurfaceInfos_c,GetBulletFx,0x0055E670,1,0,0
SurfaceInfos_c,GetFlammability,0x0055E830,1,0,0
SurfaceInfos_c,GetFrictionEffect,0x0055E650,1,0,0
SurfaceInfos_c,GetRoughness,0x0055E810,1,0,0
SurfaceInfos_c,GetSkidmarkType,0x0055E630,1,0,0
SurfaceInfos_c,GetSurfaceIdFromName,0x0055D220,1,0,0
SurfaceInfos_c,GetTyreGrip,0x0055E5E0,1,0,0
SurfaceInfos_c,GetWetMultiplier,0x0055E600,1,0,0
SurfaceInfos_c,Init,0x0055F420,1,0,0
SurfaceInfos_c,IsAudioConcrete,0x0055EA30,1,0,0
SurfaceInfos_c,IsAudioGrass,0x0055EA50,1,0,0
SurfaceInfos_c,IsAudioGravel,0x0055EA90,1,0,0
SurfaceInfos_c,IsAudioLongGrass,0x0055EB10,1,0,0
SurfaceInfos_c,IsAudioMetal,0x0055EAF0,1,0,0
SurfaceInfos_c,IsAudioSand,0x0055EA70,1,0,0
SurfaceInfos_c,IsAudioTile,0x0055EB30,1,0,0
SurfaceInfos_c,IsAudioWater,0x0055EAD0,1,0,0
SurfaceInfos_c,IsAudioWood,0x0055EAB0,1,0,0
SurfaceInfos_c,IsBeach,0x0055E750,1,0,0
SurfaceInfos_c,IsGlass,0x0055E790,1,0,0
SurfaceInfos_c,IsPavement,0x0055E7F0,1,0,0
SurfaceInfos_c,IsSand,0x0055E6F0,1,0,0
SurfaceInfos_c,IsSeeThrough,0x0055E6B0,1,0,0
SurfaceInfos_c,IsShallowWater,0x0055E730,1,0,0
SurfaceInfos_c,IsShootThrough,0x0055E6D0,1,0,0
SurfaceInfos_c,IsSkateable,0x0055E7D0,1,0,0
SurfaceInfos_c,IsSoftLanding,0x0055E690,1,0,0
SurfaceInfos_c,IsStairs,0x0055E7B0,1,0,0
SurfaceInfos_c,IsSteepSlope,0x0055E770,1,0,0
SurfaceInfos_c,IsWater,0x0055E710,1,0,0
SurfaceInfos_c,LeavesFootsteps,0x0055E890,1,0,0
SurfaceInfos_c,MakesCarClean,0x0055E8F0,1,0,0
SurfaceInfos_c,MakesCarDirty,0x0055E8D0,1,0,0
SurfaceInfos_c,ProducesFootDust,0x0055E8B0,1,0,0
Securom,SecuromDisplayInit,0x00744A70,1,0,0
Securom,SecuromStateDisplay,0x00744AE0,1,0,0
RwHelper,AtomicRemoveAnimFromSkinCB,0x00734B90,1,0,0
RwHelper,Get2DEffectAtomic,0x00734880,1,0,0
RwHelper,GetAnimHierarchyFromClump,0x00734B10,1,0,0
RwHelper,GetAnimHierarchyFromSkinClump,0x00734A40,1,0,0
RwHelper,GetEventGlobalGroup,0x004ABA50,1,0,0
RwHelper,GetFirstAtomic,0x00734820,1,0,0
RwHelper,GetFirstAtomicCallback,0x00734810,1,0,0
RwHelper,GetFirstChild,0x00734900,1,0,0
RwHelper,GetFirstFrameCallback,0x007348F0,1,0,0
RwHelper,GetFirstObject,0x007348C0,1,0,0
RwHelper,GetFirstObjectCallback,0x007348B0,1,0,0
RwHelper,GetNameAndDamage,0x005370A0,1,0,0
RwHelper,RemoveRefsCB,0x007226D0,1,0,0
RwHelper,RpAtomicConvertGeometryToTL,0x00734BE0,1,0,0
RwHelper,RpAtomicConvertGeometryToTS,0x00734C20,1,0,0
RwHelper,RpClumpConvertGeometryToTL,0x00734CB0,1,0,0
RwHelper,RpClumpConvertGeometryToTS,0x00734D30,1,0,0
RwHelper,SetFilterModeOnAtomicsTextures,0x00734D80,1,0,0
RwHelper,SetFilterModeOnClumpsTextures,0x00734DC0,1,0,0
RwHelper,SkinAtomicGetHAnimHierarchCB,0x00734A20,1,0,0
RwHelper,atomicConvertGeometryToTL,0x00734C60,1,0,0
RwHelper,atomicConvertGeometryToTS,0x00734CE0,1,0,0
RwHelper,forceLinearFilteringAtomicsCB,0x00734DA0,1,0,0
RwHelper,forceLinearFilteringMatTexturesCB,0x00734D60,1,0,0
Rs,RsAlwaysOnTop,0x00619460,1,0,0
Rs,RsCameraBeginUpdate,0x00619450,1,0,0
Rs,RsErrorMessage,0x00619B00,1,0,0
Rs,RsEventHandler,0x00619B60,1,0,0
Rs,RsGrabScreen,0x00619AF0,1,0,0
Rs,RsInitialize,0x00619600,1,0,0
Rs,RsInputDeviceAttach,0x006194C0,1,0,0
Rs,RsKeyFromScanCode,0x006193F0,1,0,0
Rs,RsKeyboardEventHandler,0x00619560,1,0,0
Rs,RsMouseEventHandler,0x00619580,1,0,0
Rs,RsMouseSetPos,0x006194A0,1,0,0
Rs,RsMouseSetVisibility,0x00619490,1,0,0
Rs,RsPadEventHandler,0x006195A0,1,0,0
Rs,RsPathGetSeparator,0x00619430,1,0,0
Rs,RsPathnameCreate,0x006195D0,1,0,0
Rs,RsPathnameDestroy,0x006195C0,1,0,0
Rs,RsRegisterImageLoader,0x00619470,1,0,0
Rs,RsRwInitialize,0x00619C90,1,0,0
Rs,RsRwTerminate,0x006195E0,1,0,0
Rs,RsSelectDevice,0x006194B0,1,0,0
Rs,RsSetDebug,0x00619480,1,0,0
Rs,RsTerminate,0x006195F0,1,0,0
Rs,RsTimer,0x00619410,1,0,0
Rs,RsWarningMessage,0x00619B30,1,0,0
Rs,RsWindowSetText,0x00619420,1,0,0
Rs,rsCommandLine,0x00619510,1,0,0
Rs,rsPreInitCommandLine,0x00619530,1,0,0
RenderBuffer,ClearRenderBuffer,0x00707790,1,0,0
RenderBuffer,RenderStuffInBuffer,0x00707800,1,0,0
RenderBuffer,StartStoring,0x00708290,1,0,0
RenderBuffer,StopStoring,0x007077A0,1,0,0
ModelIndices,InitModelIndices,0x005BCA10,1,0,0
ModelIndices,MatchAllModelStrings,0x005B57C0,1,0,0
IKChain_c,ClampLimits,0x00618520,1,0,0
IKChain_c,Exit,0x00617870,1,0,0
IKChain_c,GetBoneNodeFromTag,0x00617C60,1,0,0
IKChain_c,GetLimits,0x00618590,1,0,0
IKChain_c,GetPriority,0x00617C50,1,0,0
IKChain_c,Init,0x00618370,1,0,0
IKChain_c,IsAtTarget,0x00617F30,1,0,0
IKChain_c,IsFacingTarget,0x00617E60,1,0,0
IKChain_c,MoveBonesToTarget,0x006178B0,1,0,0
IKChain_c,SetBlend,0x00617C10,1,0,0
IKChain_c,SetOffsetBoneTag,0x00617C20,1,0,0
IKChain_c,SetOffsetPos,0x00617C30,1,0,0
IKChain_c,SetupBones,0x00617CA0,1,0,0
IKChain_c,Update,0x006184B0,1,0,0
IKChain_c,UpdateEntity,0x00617E00,1,0,0
IKChain_c,UpdateOffset,0x00617E20,1,0,0
IKChain_c,UpdateTarget,0x00617E50,1,0,0
IKChainManager_c,AbortLookAt,0x00618280,1,0,0
IKChainManager_c,AbortPointArm,0x006182F0,1,0,0
IKChainManager_c,AddIKChain,0x00618750,1,0,0
IKChainManager_c,CanAccept,0x00618800,1,0,0
IKChainManager_c,CanAcceptLookAt,0x006188B0,1,0,0
IKChainManager_c,Exit,0x006180D0,1,0,0
IKChainManager_c,GetLookAtEntity,0x006181D0,1,0,0
IKChainManager_c,GetLookAtOffset,0x00618210,1,0,0
IKChainManager_c,Init,0x006180A0,1,0,0
